500,OD-CT-RpBre02-001,Breast,"1. Breast invasive  ductal carcinoma (32 cases), 1 core/case.  <br>
2. Pathology grade 2.",Human (Mongoloid),Formalin,32,32,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,121,$75.00 ,AUD/1 slide
501,HBre-Duc052Bch-01,Breast,"1. Breast invasive ductal carcinoma (52 cases), 1 core/case.  <br>
2. Clinical stage I, II, III (Version 6.0).  <br>
3. ER-, PR-, Her2-  information available",Human (Mongoloid),Formalin,52,52,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,121,$344.00 ,AUD/1 slide
502,HBre-Duc060CS-01,Breast,"1. Breast carcinoma (30 cases), mainly invasive ductal carcinoma. <br>
2. Tumor (1 core/case) and matched normal adjacent tissue (1 core/case). <br>
3. Clinical stage 0, I, II, III (Version 6.0). <br>
4. 100% cases have TNM detail information. <br>
5. Pathology grade 1, 2, 3.",Human (Mongoloid),Formalin,30,60,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,$232.00 ,AUD/1 slide
503,OD-CT-RpBre03-004,Breast,"1. Breast invasive  ductal carcinoma (31 cases), tumor (1 core/case) and matched normal adjacent tissue (1 core/case). <br>
2. Clinical stage I, II, III (Version 6.0). <br>
3. 60% cases have TNM detial information.  <br>
4. Pathology grade 2, 2-3. <br>
5. ER, PR, HER2 information.",Human (Mongoloid),Formalin,31,62,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,$463.00 ,AUD/1 slide
504,OD-CT-RpBre03-005,Breast,"1. Breast carcinoma (31 cases), tumor (1 core/case) and matched normal adjacent tissue (1 core/ case). <br> 
2. Clinical stage III (Version 6.0). 90% cases haveTNM detail information.  <br>
3. Pathology grade 2, 3.<br>
4. Her2 information.",Human (Mongoloid),Formalin,31,62,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,$209.00 ,AUD/1 slide
505,HBre-Duc068Bch-01,Breast,"1. Breast invasive ductal carcinoma (64 cases) and other types of breast carcinoma (4 cases), 1 core/case.  <br>
2. Clinical Stage I, II, III (Version 6.0)  <br>
3. ER＋, PR＋, Her2＋ information available",Human (Mongoloid),Formalin,68,68,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,121,$344.00 ,AUD/1 slide
506,OD-CT-RpBre04-001 ,Breast,"1.Breast invasive ductal carcinoma (40 cases), 2 cores/case. Normal adjacent tissue (5 cases), 1 core/case.  <br>
2. TNM score available  <br>
3. Pathology grade 1, 2, 3. ",Human (Mongoloid),Formalin,40,85,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,$194.00 ,AUD/1 slide
507,HBre-Duc090Sur-01,Breast,"1. Breast cancer (HBre-Duc170Sur-01) 's normal adjacent tissue, 90 cases. 1 core/case.<br>
2. Clinical Stage I, II, III (Version 6.0). <br>
3. Survival information avaliable. Being followed up for 9-12 years. ",Human (Mongoloid),Formalin,90,90,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,121,$695.00 ,AUD/1 slide
508,HBre-Duc170Sur-01,Breast,"1. Breast cancer, 170 cases. 160 cases have tumor, 1 core/case, 10 cases have normal adjacent tissue, 1 core/case.<br>
2. Clinical stage I, II, III (Version 6.0). <br>
3. Survival information available. Being followed up for 9-12 years.<br>
4. With IHC data of ER, PR, Her2, EGFR, Ki67, p53, AR and FISH data of Her2.",Human (Mongoloid),Formalin,170,170,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,"$2,563.00 ",AUD/1 slide
509,OD-CT-RpBre01-003,Breast,"1. Breast carcinoma (80 cases), 2 cores/case. Normal adjacent tissue (10 cases), 2 cores/case. Other carcinoma (20 cases), 1 core/case. <br>
2. Pathology grade 1, 2, 3.  <br>
3. ER, PR information. ",Human (Mongoloid),Formalin,110,200,1.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,121,$344.00 ,AUD/1 slide
600,OD-CT-DgCol02-001,Colon,"1. Colon adenocarcinoma (32 cases), 1 core/case. <br> 
2. Pathology grade 1, 1-2.",Human (Mongoloid),Formalin,32,32,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,98,$75.00 ,AUD/1 slide
601,OD-CT-DgCol02-002,Colon,"1. Colon adenocarcinoma (32 cases), 1 core/case. <br>  
2. Pathology grade 1, 2.",Human (Mongoloid),Formalin,32,32,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,98,$75.00 ,AUD/1 slide
602,OD-CT-DgCol02-003,Colon,"1. Colon adenocarcinoma (32 cases), 1 core/case.  <br>
2. Pathology grade 3.",Human (Mongoloid),Formalin,32,32,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,,,98,$75.00 ,AUD/1 slide
603,HCol-Ade060PG-01,Colon,"1. Colon adenocarcinoma (30 cases), tumor (1 core/case) and matched normal adjacent tissue (1 core/case).  <br>
2. Pathology grade 1(3 cases),  2(14 cases),  2-3 (8 cases),  3 (5 cases).",Human (Mongoloid),Formalin,30,60,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,$209.00 ,AUD/1 slide
604,OD-CT-DgCol03-002,Colon,"1. Colon adenocarcinoma (31 cases), tumor (1 core/case) and matched normal adjacent tissue (1 core/case).  <br>
2. Clinical stage I-IV (Version 7.0)  <br>
3. 50% cases have TNM detail information.  <br>
4. Pathology grade 2.",Human (Mongoloid),Formalin,31,62,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,$209.00 ,AUD/1 slide
605,OD-CT-DgCol03-003,Colon,"1. Colon mucinous adenocarcinoma (31 cases), tumor (1 core/case) and matched normal adjacent tissue (1 core/case).  <br>
2. Clinical stage II, III, IV (Version 7.0).  <br>
3.  70% cases have TNM detail information.",Human (Mongoloid),Formalin,31,62,2.0mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,$209.00 ,AUD/1 slide
606,OD-CT-DgCol04-003 ,Colon,"1. Colon adenocarcinoma (40 cases), 2 cores/case. Normal adjacent tissue (5 cases), 1 core/case.  <br>
2. Clinical stage I, II, III (Version 7.0).  <br>
3. Pathology grade 1, 2, 3.",Human (Mongoloid),Formalin,40,85,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,$194.00 ,AUD/1 slide
607,OD-CT-DgCol04-001,Colon,"1. Colon adenocarcinoma (92 cases), 1 core/case.  <br>
2. Pathology grade 2.",Human (Mongoloid),Formalin,92,92,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,,,98,$209.00 ,AUD/1 slide
608,HCol-Ade180Sur-02,Colon,"1. Colon adenocarcinoma (93 cases) with survival information, 87 cases have tumor (1 core/case) and matched normal adjacent tissue (1 core/case), 6 cases have tumor tissue (1 core/case). <br>
2. Clinical stage I-IV (Version7.0). <br>
3. Surgery date 2007.5-2008.4, visit date 2012.8. Being followed up for 5.3-6.3 years",Human (Mongoloid),Formalin,93,180,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,"$1,868.00 ",AUD/1 slide
609,HCol-Ade180Sur-03,Colon,"1. Colon adenocarcinoma (90 cases) with survival information, tumor (1 core/case) and matched normal adjacent tissue (1 core/case)<br>
2. Clinical stage I-IV (Version7.0). <br>
3. Surgery date 2008.4-2008.11, visit date 2012.8. Being followed up for 4.8-5.4 years",Human (Mongoloid),Formalin,90,180,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,"$1,629.00 ",AUD/1 slide
610,HCol-Ade180Sur-04,Colon,"1. Colon adenocarcinoma (90 cases) with survival information, tumor(1 core/case) and matched normal adjacent tissue (1 core/case).  <br>
2. Clinical stage I-IV (Version7.0). <br>
3. Surgery date 2006.7-2007.5, visit date 2012.8. Being followed up for 6.3-7.1 years.",Human (Mongoloid),Formalin,90,180,1.5mm,,,,Short term RT; Long term 4oC,For research use only,,|14|,,98,"$1,868.00 ",AUD/1 slide
